"541","101 Dalmatians","215.9","1961"
"371","Vertical Limit","215.7","2000"
"509","Ghostbusters II","215.4","1989"
"372","The Patriot","215.3","2000"
"138","The Sorcerer\"s Apprentice","215.3","2010"
"100","Just Go With It","214.9","2011"
"170","Public Enemies","214.1","2009"
"518","Dirty Dancing","214","1987"
"465","Disclosure","214","1994"
"333","The Bourne Identity","214","2002"
"466","Pulp Fiction","213.9","1994"
"290","The Aviator","213.7","2004"
"373","Crouching Tiger, Hidden Dragon","213.5","2000"
"202","Bedtime Stories","212.9","2008"
"374","Miss Congeniality","212.7","2000"
"453","Ace Ventura: When Nature Calls","212.4","1995"
"393","Entrapment","212.4","1999"
"312","Master and Commander: The Far Side of the World","212","2003"
"394","End of Days","212","1999"
"101","Battle: Los Angeles","211.8","2011"
"139","Due Date","211.8","2010"
"267","Kingdom of Heaven","211.7","2005"
"203","Australia","211.3","2008"
"510","The Little Mermaid","211.3","1989"
"171","District 9","210.8","2009"
"454","Braveheart","210.4","1995"
"531","Moonraker","210.3","1979"
"351","The Others","209.9","2001"
"102","Horrible Bosses","209.6","2011"
"334","Red Dragon","209.2","2002"
"291","Lemony Snicket\"s A Series of Unfortunate Events","209.1","2004"
"70","Safe House","208.1","2012"
"313","S.W.A.T.","207.7","2003"
"375","Traffic","207.5","2000"
"352","The Fast and the Furious","207.3","2001"
"103","Paranormal Activity 3","207","2011"
"475","Philadelphia","206.7","1993"
"395","Sleepy Hollow","206.1","1999"
"540","The Jungle Book","205.8","1967"
"32","White House Down","205.4","2013"
"490","JFK","205.4","1991"
"172","The Ugly Truth","205.3","2009"
"248","The Holiday","205.1","2006"
"249","The Break-Up","205","2006"
"140","Eat Pray Love","204.6","2010"
"292","King Arthur","203.6","2004"
"353","Vanilla Sky","203.4","2001"
"230","Hairspray (2007)","202.5","2007"
"413","Patch Adams","202.3","1998"
"500","Kindergarten Cop","202","1990"
"268","Fun with Dick and Jane","202","2005"
"499","Teenage Mutant Ninja Turtles","202","1990"
"173","Ponyo","201.8","2009"
"141","Yogi Bear","201.6","2010"
"71","21 Jump Street","201.6","2012"
"293","Garfield: The Movie","200.8","2004"
"354","Cats &amp; Dogs","200.7","2001"
"501","The Hunt for Red October","200.5","1990"
"204","Valkyrie","200.3","2008"
"33","Cloudy with a Chance of Meatballs 2","200.3","2013"
