"No.","Rank","Distributor","Market Share","Total Gross","Movies Tracked","2013 Movies"
"62","62","Ketchup Entertainment","0.0%","$352k","3","3"
"63","63","E1 Entertainment","0.0%","$340k","1","1"
"64","64","Tribeca Film","0.0%","$329k","17","15"
"65","65","Strand","0.0%","$309k","14","10"
"66","66","Indomina Media","0.0%","$280k","2","1"
"67","67","Paladin/108 Media","0.0%","$277k","3","3"
"68","68","Rialto","0.0%","$264k","13","9"
"69","69","Main Street Films","0.0%","$240k","1","1"
"70","70","Abramorama","0.0%","$208k","4","3"
"71","71","Producers Distribution Agency","0.0%","$196k","2","1"
"72","72","Codeblack Entertainment","0.0%","$194k","1","1"
"73","73","The Film Collective","0.0%","$190k","2","2"
"74","74","CJ Entertainment","0.0%","$175k","4","2"
"75","75","Xlrator Media","0.0%","$157k","2","2"
"76","76","Alive Mind Cinema","0.0%","$156k","3","1"
"77","77","China Lion","0.0%","$153k","6","5"
"78","78","Rocky Mountain Pictures","0.0%","$152k","1","1"
"79","79","EchoLight Studios","0.0%","$151k","2","2"
"80","80","AMC Theaters","0.0%","$145k","2","2"
"81","81","Excel","0.0%","$125k","1","1"
"82","82","Paladin/Film Buff","0.0%","$120k","1","1"
"83","83","Gabriel's Messenger Films","0.0%","$104k","1","1"
"84","84","MPI Media Group","0.0%","$102k","1","1"
"85","85","Janson Media","0.0%","$100k","1","1"
"86","86","Rada Film Group","0.0%","$95.8k","1","1"
"87","87","Waking Giants","0.0%","$90.1k","1","1"
"88","88","Distrib Films","0.0%","$86.7k","3","3"
"89","89","Monterey Media, Inc.","0.0%","$84.8k","4","4"
"90","90","Image Entertainment","0.0%","$80.6k","1","1"
"91","91","Prabhudheva","0.0%","$80.1k","1","1"
"92","92","Onyx Films","0.0%","$79.6k","1","0"
"93","93","Liberty Street Films","0.0%","$77.6k","1","1"
"94","94","Area23a","0.0%","$68.3k","5","4"
"95","95","Snagfilms","0.0%","$63.4k","1","0"
"96","96","Screen Media","0.0%","$55.3k","1","1"
"97","97","River Rain","0.0%","$54.5k","1","1"
"98","98","Armando Montelongo Productions","0.0%","$54.2k","1","1"
"99","99","Noujaim Films","0.0%","$53.0k","1","1"
"100","100","Indican","0.0%","$52.8k","5","3"
"101","101","APD/Cinema Conservancy","0.0%","$51.3k","4","3"
"102","102","Film Movement","0.0%","$51.2k","6","5"
"103","103","The Film Collaborative","0.0%","$50.9k","2","2"
"104","104","Brainstorm Media","0.0%","$48.8k","2","2"
"105","105","Eleven Arts","0.0%","$47.5k","1","0"
"106","106","Le Petit Canyon","0.0%","$46.4k","1","1"
"107","107","Lambert Releasing","0.0%","$45.0k","1","1"
"108","108","Rockstone Releasing","0.0%","$41.5k","1","1"
"109","109","Page 124 Productions","0.0%","$41.1k","1","0"
"110","110","House Lights Media","0.0%","$40.6k","1","1"
"111","111","Icarus Films","0.0%","$39.5k","1","1"
"112","112","Fine Line Media","0.0%","$37.7k","1","1"
"113","113","Drive-in Doc LLC","0.0%","$36.8k","1","1"
"114","114","The Film Desk","0.0%","$34.2k","11","2"
"115","115","Active Fox Productions","0.0%","$33.0k","2","2"
"116","116","Vitagraph","0.0%","$31.8k","1","1"
"117","117","Wolfe Releasing","0.0%","$31.7k","1","1"
"118","118","Long Shot Factory","0.0%","$30.9k","1","0"
"119","119","Cinipix","0.0%","$29.9k","1","1"
"120","120","FilmBuff","0.0%","$27.6k","1","1"
"121","121","Breaking Glass Pictures","0.0%","$27.0k","1","1"
"122","122","Doppelganger Releasing","0.0%","$27.0k","3","3"
"123","123","Steelyard Pictures","0.0%","$25.0k","1","1"
"124","124","Driving With Our Eyes Shut","0.0%","$24.6k","4","2"
"125","125","Janus Films","0.0%","$23.4k","1","1"
"126","126","GoGoGo Entertainment","0.0%","$19.9k","1","1"
"127","127","Striped Entertainment","0.0%","$19.6k","3","3"
"128","128","NoCoast Artists","0.0%","$19.5k","1","1"
"129","129","AFFRM","0.0%","$18.3k","2","2"
"130","130","Dada Films","0.0%","$17.7k","1","1"
"131","131","Ghosts Media, Inc.","0.0%","$17.6k","1","1"
"132","132","Argot Pictures","0.0%","$16.4k","4","3"
"133","133","Leisure Time","0.0%","$16.2k","1","1"
"134","134","Follow Your Nose Films","0.0%","$15.9k","1","1"
"135","135","Loki Films","0.0%","$14.4k","1","0"
"136","136","ATO Pictures","0.0%","$13.5k","1","1"
"137","137","Archstone","0.0%","$13.3k","2","2"
"138","138","Zipporah Films","0.0%","$11.3k","1","1"
"139","139","Leave It Better","0.0%","$10.7k","1","1"
"140","140","Starz Media","0.0%","$10.0k","1","1"
"141","141","Bonfire Films of America","0.0%","$9.6k","1","1"
"142","142","Vanguardia Films","0.0%","$9.3k","1","1"
"143","143","The Happy Sad LLC","0.0%","$8.4k","1","1"
"144","144","Gold Cap Films","0.0%","$7.4k","1","1"
"145","145","KimStim","0.0%","$6.9k","1","1"
"146","146","Unknown","0.0%","$6.5k","2","2"
"147","147","Paladin","0.0%","$5.8k","1","1"
"148","148","Cinema Purgatorio","0.0%","$3.3k","1","1"
"149","149","IM Global/Blumhouse","0.0%","$3.1k","1","1"
"150","150","Cinema Libre","0.0%","$3.0k","1","1"
"151","151","Reactor 88 Studios","0.0%","$2.2k","1","1"
"152","152","Palisades Tartan","0.0%","$1.6k","1","0"
"153","153","Blue Llama","0.0%","$1.1k","1","1"
"154","154","AfterLight","0.0%","$1.0k","1","1"
