"No.","Rank","Distributor","Market Share","Total Gross","Movies Tracked","# Movies","Year"
"67","67","Arthouse Films","0.0%","$293k","3","3","2009"
"68","68","Rialto","0.0%","$287k","5","4","2009"
"69","69","Balcony Releasing","0.0%","$269k","3","1","2009"
"70","70","Argot Pictures","0.0%","$228k","4","4","2009"
"71","71","","0.0%","$202k","4","4","2009"
"72","72","Big Pictures","0.0%","$199k","1","1","2009"
"73","73","Unknown","0.0%","$176k","6","5","2009"
"74","74","Third Rail Releasing","0.0%","$175k","2","2","2009"
"75","75","Image Entertainment","0.0%","$168k","2","2","2009"
"76","76","Variance / Everest","0.0%","$164k","1","1","2009"
"77","77","Koch Lorber Films","0.0%","$164k","2","2","2009"
"78","78","Monterey Media, Inc.","0.0%","$164k","10","9","2009"
"79","79","Maya Entertainment","0.0%","$162k","5","4","2009"
"80","80","Peace Arch Entertainment","0.0%","$142k","3","2","2009"
"81","81","The Film Desk","0.0%","$136k","7","4","2009"
"82","82","Empire Film Group","0.0%","$124k","1","1","2009"
"83","83","Hannover House","0.0%","$124k","1","1","2009"
"84","84","Eleven Arts","0.0%","$113k","2","2","2009"
"85","85","Paladin","0.0%","$86.1k","2","2","2009"
"86","86","Lorber Films","0.0%","$82.1k","4","4","2009"
"87","87","Palisades Tartan","0.0%","$81.6k","2","2","2009"
"88","88","Cinema Libre","0.0%","$65.0k","4","3","2009"
"89","89","Mitropoulos Films","0.0%","$63.4k","2","2","2009"
"90","90","Emerging Pictures","0.0%","$54.5k","1","1","2009"
"91","91","Audience Alliance","0.0%","$54.1k","1","1","2009"
"92","92","21st Century Film Production","0.0%","$50.1k","1","1","2009"
"93","93","Sky Island Films","0.0%","$47.6k","1","1","2009"
"94","94","Wave Releasing","0.0%","$47.1k","1","1","2009"
"95","95","Bev Pictures","0.0%","$44.8k","1","1","2009"
"96","96","Speak Productions","0.0%","$37.1k","1","0","2009"
"97","97","Corinth Films","0.0%","$36.8k","1","1","2009"
"98","98","Mypheduh Films","0.0%","$30.1k","1","1","2009"
"99","99","MSK Productions","0.0%","$28.6k","1","1","2009"
"100","100","Trela Media","0.0%","$27.1k","1","1","2009"
"101","101","ThinkFilm","0.0%","$25.3k","1","0","2009"
"102","102","Roebuck Media","0.0%","$24.4k","1","1","2009"
"103","103","New American Vision","0.0%","$22.8k","1","1","2009"
"104","104","Embrem Entertainment","0.0%","$18.5k","1","1","2009"
"105","105","Film Movement","0.0%","$16.0k","1","1","2009"
"106","106","Aliquot Films","0.0%","$11.8k","1","1","2009"
"107","107","Nocturnal Features","0.0%","$11.4k","3","3","2009"
"108","108","Wildcat Releasing","0.0%","$11.0k","1","1","2009"
"109","109","Mangusta Productions","0.0%","$9.9k","1","1","2009"
"110","110","Inspired Life","0.0%","$9.8k","1","1","2009"
"111","111","River Rain","0.0%","$8.5k","1","0","2009"
"112","112","Fair Trade Pictures","0.0%","$7.6k","1","0","2009"
"113","113","Tentmakers Entertainment","0.0%","$6.8k","1","0","2009"
"114","114","Osiris Entertainment","0.0%","$6.5k","1","1","2009"
"115","115","Sumbadhat Productions","0.0%","$6.0k","1","1","2009"
"116","116","28 Entertainment","0.0%","$4.3k","1","1","2009"
"117","117","Cavalier Films","0.0%","$3.0k","1","0","2009"
"118","118","New Love Films","0.0%","$2.6k","1","0","2009"
"119","119","Yeah","0.0%","$1.0k","1","1","2009"
