"No.","Rank","Distributor","Market Share","Total Gross","Movies Tracked","2007 Movies"
"68","68","Regent Releasing","0.0%","$293k","11","9"
"69","69","Vitagraph","0.0%","$279k","2","2"
"70","70","Vineyard Distribution","0.0%","$278k","1","0"
"71","71","8X Entertainment","0.0%","$258k","1","1"
"72","72","TLA Releasing","0.0%","$246k","2","2"
"73","73","TVA","0.0%","$245k","1","1"
"74","74","Anchor Bay Films","0.0%","$244k","2","2"
"75","75","Somerset Films","0.0%","$241k","1","1"
"76","76","International Film Circuit","0.0%","$211k","8","7"
"77","77","Film Sales Company","0.0%","$200k","1","1"
"78","78","Truly Indie","0.0%","$194k","5","5"
"79","79","Warrior Poets Releasing","0.0%","$193k","1","1"
"80","80","Balcony Releasing","0.0%","$193k","3","3"
"81","81","Luminous Velocity Releasing","0.0%","$181k","2","2"
"82","82","Rainbow Releasing","0.0%","$171k","1","1"
"83","83","Shemaroo","0.0%","$166k","1","1"
"84","84","Eleven Arts","0.0%","$145k","2","2"
"85","85","Arab Film Dist.","0.0%","$140k","1","0"
"86","86","Mountain Top Releasing","0.0%","$139k","1","1"
"87","87","Cinema Guild","0.0%","$127k","3","2"
"88","88","Abkco Films","0.0%","$118k","2","1"
"89","89","Priority Films","0.0%","$108k","1","1"
"90","90","David &amp; Layla, LLC","0.0%","$106k","1","1"
"91","91","Wildcat Releasing","0.0%","$105k","1","1"
"92","92","Outsider Pictures","0.0%","$99.0k","2","2"
"93","93","Reel Diva Consultants","0.0%","$98.9k","4","4"
"94","94","Peace Arch Entertainment","0.0%","$86.5k","1","1"
"95","95","Codeblack Entertainment","0.0%","$85.9k","2","2"
"96","96","Gigantic Releasing","0.0%","$63.3k","1","0"
"97","97","First Independent Pictures","0.0%","$61.9k","2","2"
"98","98","7th Art","0.0%","$60.2k","4","3"
"99","99","Screen Media","0.0%","$53.8k","4","4"
"100","100","SeeThink Productions","0.0%","$49.0k","1","1"
"101","101","Tentmakers Entertainment","0.0%","$45.5k","1","1"
"102","102","Capricorn Distribution","0.0%","$45.4k","1","1"
"103","103","Xenon Pictures","0.0%","$42.7k","2","2"
"104","104","Tilapia Film","0.0%","$41.6k","1","0"
"105","105","Success Films","0.0%","$39.2k","1","1"
"106","106","Lucid Dreaming Inc.","0.0%","$38.9k","1","1"
"107","107","Elephant Eye Films","0.0%","$37.1k","2","2"
"108","108","Lifesize","0.0%","$35.8k","3","3"
"109","109","Halo8 Releasing","0.0%","$34.0k","1","1"
"110","110","Empire Film Group","0.0%","$32.8k","1","1"
"111","111","Reliance Films","0.0%","$32.7k","1","1"
"112","112","Icarus Films","0.0%","$31.4k","7","6"
"113","113","Cinema Libre","0.0%","$30.1k","3","3"
"114","114","First Stripe Productions","0.0%","$29.7k","1","0"
"115","115","Film Movement","0.0%","$28.6k","2","2"
"116","116","Gringo Wedding LLC","0.0%","$26.9k","1","1"
"117","117","Stand Up Films","0.0%","$24.1k","1","1"
"118","118","Movie Partners","0.0%","$23.6k","1","1"
"119","119","SchwarzSmith &amp; Taskovski Films","0.0%","$21.6k","1","1"
"120","120","Reel Source","0.0%","$20.8k","1","1"
"121","121","Artistic License","0.0%","$20.2k","1","1"
"122","122","Big Sky Productions","0.0%","$18.9k","1","1"
"123","123","California Newsreel","0.0%","$18.4k","1","0"
"124","124","Pocket Releasing","0.0%","$18.4k","1","1"
"125","125","Artmattan Prods.","0.0%","$17.5k","3","2"
"126","126","Abramorama","0.0%","$17.5k","1","1"
"127","127","Either/Or Films","0.0%","$16.9k","1","1"
"128","128","New Love Films","0.0%","$16.8k","1","1"
"129","129","Lantern Lane","0.0%","$15.8k","1","1"
"130","130","600 West","0.0%","$15.6k","1","1"
"131","131","Sagewood Cinema Ventures","0.0%","$15.0k","1","0"
"132","132","Fox Meadows Films","0.0%","$13.9k","1","1"
"133","133","Wringing Hands Prods.","0.0%","$12.9k","1","1"
"134","134","Goodbye Cruel Releasing","0.0%","$12.3k","1","0"
"135","135","Argot Pictures","0.0%","$12.2k","1","1"
"136","136","Ariztical Entertainment","0.0%","$11.7k","1","0"
"137","137","Picture This!","0.0%","$11.4k","1","1"
"138","138","Cineville","0.0%","$11.2k","2","1"
"139","139","Magic Lamp","0.0%","$10.5k","1","1"
"140","140","Arthouse Films","0.0%","$8.9k","1","1"
"141","141","Laemmle / Zeller Films","0.0%","$8.9k","1","1"
"142","142","D Street Releasing","0.0%","$8.3k","1","1"
"143","143","Unknown","0.0%","$8.0k","1","1"
"144","144","Union Station","0.0%","$8.0k","1","1"
"145","145","Green Forest Films","0.0%","$7.1k","1","1"
"146","146","The Documentary Group","0.0%","$6.8k","1","1"
"147","147","Red Envelope Entertainment","0.0%","$6.7k","2","2"
"148","148","Radio London Films","0.0%","$6.4k","1","1"
"149","149","Mitropoulos Films","0.0%","$5.8k","2","2"
"150","150","Lonely Seal Releasing","0.0%","$3.9k","1","1"
"151","151","Jung N Restless Films","0.0%","$3.8k","1","1"
"152","152","Diversa Films","0.0%","$3.6k","1","1"
"153","153","Facets","0.0%","$3.0k","1","1"
"154","154","ArcAngelo Entertainment","0.0%","$1.9k","1","1"
"155","155","Bullz Eye Productions","0.0%","$1.5k","1","1"
"156","156","Outsider Films","0.0%","$1.5k","1","1"
"157","157","Sky Island Films","0.0%","$1.4k","1","1"
