"No.","Rank","Distributor","Market Share","Total Gross","Movies Tracked","2006 Movies"
"69","69","International Film Circuit","0.0%","$306k","5","4"
"70","70","Balcony Releasing","0.0%","$295k","6","5"
"71","71","Silver Nitrate","0.0%","$274k","1","1"
"72","72","Midnight Movies Entertainment","0.0%","$271k","1","1"
"73","73","SenArt/Scranton-Lacy Films","0.0%","$254k","1","1"
"74","74","The Bigger Picture","0.0%","$253k","1","1"
"75","75","New Yorker","0.0%","$245k","9","7"
"76","76","City Lights Pictures Releasing","0.0%","$225k","2","2"
"77","77","Five &amp; Two Pictures","0.0%","$224k","1","1"
"78","78","120 Degree Films","0.0%","$210k","1","1"
"79","79","Wellspring","0.0%","$178k","6","2"
"80","80","Lovett Releasing","0.0%","$160k","1","0"
"81","81","First Stripe Productions","0.0%","$150k","1","1"
"82","82","Kindred Media Group","0.0%","$147k","3","3"
"83","83","Picture This!","0.0%","$143k","6","3"
"84","84","Cinema Libre","0.0%","$141k","5","5"
"85","85","Bauer Martinez Distribution","0.0%","$134k","2","2"
"86","86","Emerging Pictures","0.0%","$120k","3","2"
"87","87","7th Art","0.0%","$116k","2","2"
"88","88","Vineyard Distribution","0.0%","$110k","1","0"
"89","89","Janus Films","0.0%","$107k","1","1"
"90","90","518 Media","0.0%","$100k","1","1"
"91","91","Goodbye Cruel Releasing","0.0%","$91.2k","1","1"
"92","92","California Newsreel","0.0%","$75.0k","1","1"
"93","93","Arab Film Dist.","0.0%","$71.3k","4","3"
"94","94","Gigantic Releasing","0.0%","$60.0k","1","1"
"95","95","Meadowbrook Pictures","0.0%","$58.7k","1","0"
"96","96","Icarus Films","0.0%","$55.9k","4","4"
"97","97","Gorilla Factory Productions","0.0%","$55.4k","1","1"
"98","98","Reel Source","0.0%","$53.6k","1","1"
"99","99","Maya Entertainment","0.0%","$52.0k","1","1"
"100","100","Thread Cross Films","0.0%","$47.2k","1","1"
"101","101","Vitagraph","0.0%","$41.8k","1","1"
"102","102","Pasidg Productions","0.0%","$40.8k","1","0"
"103","103","Screen Media","0.0%","$38.9k","1","1"
"104","104","Films Philos","0.0%","$36.6k","1","1"
"105","105","Millennium Films, Inc.","0.0%","$36.0k","1","1"
"106","106","At Risk Films","0.0%","$35.4k","1","1"
"107","107","Skouras","0.0%","$34.8k","1","1"
"108","108","Women Make Movies","0.0%","$33.3k","1","1"
"109","109","Aloha Releasing","0.0%","$32.8k","4","4"
"110","110","Unico Entertainment","0.0%","$28.0k","1","1"
"111","111","Ariztical Entertainment","0.0%","$25.4k","1","1"
"112","112","Arrival Pictures","0.0%","$23.7k","2","1"
"113","113","Quixotic Media","0.0%","$22.9k","1","1"
"114","114","Screenland Films","0.0%","$22.9k","1","1"
"115","115","Leisure Time","0.0%","$20.5k","1","1"
"116","116","Skylight Pictures","0.0%","$20.1k","1","1"
"117","117","Cinema Tropical","0.0%","$19.8k","1","1"
"118","118","Mochary Films","0.0%","$19.8k","1","1"
"119","119","Laemmle / Zeller Films","0.0%","$17.9k","2","1"
"120","120","Abkco Films","0.0%","$17.1k","1","1"
"121","121","Holedigger Studios","0.0%","$15.6k","1","0"
"122","122","Fader Films","0.0%","$15.0k","1","0"
"123","123","Sakura Production USA","0.0%","$15.0k","1","1"
"124","124","HP Releasing","0.0%","$14.8k","1","1"
"125","125","The 7th Floor","0.0%","$14.8k","2","2"
"126","126","Rainbow Releasing","0.0%","$12.6k","1","1"
"127","127","Sagewood Cinema Ventures","0.0%","$11.8k","1","1"
"128","128","Tilapia Film","0.0%","$11.8k","1","1"
"129","129","Newport Films","0.0%","$11.0k","1","1"
"130","130","Delphi Film Foundation","0.0%","$9.4k","1","1"
"131","131","Empire","0.0%","$8.1k","1","0"
"132","132","Microangelo Entertainment","0.0%","$7.8k","1","1"
"133","133","Roxie","0.0%","$7.5k","1","1"
"134","134","The Disinformation Co.","0.0%","$7.5k","1","1"
"135","135","Andes Film Company","0.0%","$7.1k","1","1"
"136","136","Bill Plympton","0.0%","$5.3k","1","1"
"137","137","Olive Films","0.0%","$4.8k","1","1"
"138","138","Frontier Films","0.0%","$4.8k","1","1"
"139","139","Castle Hill","0.0%","$4.5k","1","1"
"140","140","Argot Pictures","0.0%","$3.9k","1","1"
"141","141","Four Eyed Monsters","0.0%","$3.1k","1","1"
"142","142","Unknown","0.0%","$3.0k","1","1"
"143","143","Dog Lover's Symphony","0.0%","$3.0k","1","1"
"144","144","ICA","0.0%","$2.5k","1","1"
"145","145","Seventh Art","0.0%","$2.2k","1","1"
"146","146","HB Filmworks","0.0%","$2.2k","1","1"
"147","147","Artistic License","0.0%","$2.2k","1","1"
"148","148","Movin' Picture Studios","0.0%","$2.0k","1","1"
"149","149","Artmattan Prods.","0.0%","$1.9k","1","1"
"150","150","Film Movement","0.0%","$1.4k","1","1"
"151","151","Gold Circle","0.0%","$1.3k","1","1"
"152","152","Luke Films","0.0%","$1.1k","1","0"
"153","153","Oilrag Productions","0.0%","$0.8k","1","1"
"154","154","Bullz Eye Productions","0.0%","$0.8k","1","1"
